id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city,occupancy_rate,estimated_annual_revenue
588718690539025788,Gentilly Cozy Corner - Near Lakefront,220051986,Shonda,,St.  Anthony,30.01259,-90.0629,Entire home/apt,108.0,3,38,2025-07-06,1.0,1,312,13,"25-NSTR-12547, 25-OSTR-09670",New Orleans,14.52,23587.2
589629101861464997,Lovely 3 Bedroom in Uptown New Orleans,30582943,Melissa,,Marlyville - Fontainbleau,29.9515,-90.11487,Entire home/apt,99.0,30,1,2022-05-11,0.02,6,363,0,,New Orleans,0.55,25155.9
589709708973811107,Warehouse District | Intimate One Bedroom,342910048,LiivUP,,Central Business District,29.94412,-90.0702093,Entire home/apt,160.0,30,94,2025-08-02,2.26,20,290,20,"22-CSTR-17714, 22-OSTR-17719",New Orleans,20.55,32480.0
589710011371284658,Warehouse District | Lovely One Bedroom and Den,342910048,LiivUP,,Central Business District,29.94412,-90.0702093,Entire home/apt,125.0,30,57,2025-08-08,1.52,20,299,20,"22-CSTR-17714, 22-OSTR-17719",New Orleans,18.08,26162.5
590479554176858829,City’s Center Gem-Across from Streetcar,314943441,Leila,,Mid-City,29.96756,-90.08632,Entire home/apt,158.0,30,2,2024-02-14,0.07,2,90,0,"20STR-01159, 19-OSTR-00000",New Orleans,75.34,9954.0
591206966954499982,Cute 1bed steps from French Q and Jazz venues.,26642486,Jose,,Seventh Ward,29.96793556213379,-90.06234741210938,Entire home/apt,50.0,2,104,2025-08-11,2.48,17,226,26,"21-CSTR-08590, 24-OSTR-04983",New Orleans,38.08,7910.0
591423608146962661,Modern one-bedroom condo with parking and pool,95683904,Brad,,Bywater,29.96252,-90.03695,Entire home/apt,100.0,1,141,2025-09-07,3.38,30,145,49,"22-CSTR-04104, 24-OSTR-03631",New Orleans,60.27,10150.0
591924404931690277,Snazzy Esplanade Bungalow Private Patio 2 Bed Bath,290355593,Rodney,,Fairgrounds,29.97716,-90.07797,Entire home/apt,48.0,30,81,2025-07-31,1.97,7,248,16,"23-CSTR-17894, 22-OSTR-15928",New Orleans,32.05,8332.8
591929434357157239,Shotgun With a Twist,451495279,Banikah Asha,,Seventh Ward,29.97507,-90.05873,Entire home/apt,98.0,2,106,2025-08-11,2.53,1,68,22,"23-NSTR-16695, 25-OSTR-34279",New Orleans,81.37,4664.8
592727873396230357,Urban Retreat in the heart of NOLA,451675229,Monique,,Seventh Ward,29.982466,-90.060951,Entire home/apt,69.0,2,52,2025-08-24,1.58,1,217,23,"23-NSTR-15664, 24-OSTR-04021",New Orleans,40.55,10481.1
592740934581977828,"Comfy, cozy and chic",103577383,Stanislav,,Mid-City,29.96499380642293,-90.09195677534574,Entire home/apt,200.0,30,1,2025-03-11,0.16,1,177,1,,New Orleans,51.51,24780.0
592847228912869538,1900’s Renovated Historic House - Near FQ,38663079,Norman,,St. Claude,29.968,-90.04303,Entire home/apt,201.0,1,293,2025-08-15,7.02,4,277,67,"23-CSTR-05672, 24-OSTR-22781",New Orleans,24.11,38973.9
594285285469956860,Lovely Bywater 1- Bedroom w/ Pool!,35395756,Kpvr,,Bywater,29.96278,-90.04226,Entire home/apt,72.0,30,6,2025-03-31,0.15,8,89,2,,New Orleans,75.62,4485.6
594773785573621690,Charming Irish Channel Home | Steps to Magazine St,452099814,Gary,,Irish Channel,29.92679977,-90.07969666,Entire home/apt,157.0,2,102,2025-08-26,2.68,1,302,25,"24-NSTR-09933, 24-OSTR-08342",New Orleans,17.26,33189.8
594810037269539518,Modern Treme Bungalow,396853957,Emily,,Treme - Lafitte,29.96816,-90.07167,Entire home/apt,90.0,1,98,2025-09-07,2.34,1,141,20,"23-NSTR-15739, 22-OSTR-05360",New Orleans,61.37,8883.0
594874209297742885,The Green Suite in the Lower Garden District,4635074,Flavia,,Lower Garden District,29.93228,-90.0731,Entire home/apt,50.0,30,12,2025-08-01,0.3,3,301,4,,New Orleans,17.53,10535.0
594938419872747497,Stunning Uptown 3 Bedroom 3 Bathroom Home,212330070,Mehrdad,,East Carrollton,29.94641494750977,-90.12824249267578,Entire home/apt,150.0,30,11,2025-06-16,0.32,2,208,5,,New Orleans,43.01,21840.0
597719976056899550,Cozy New Orleans Hide Away,380727140,Aidan,,Navarre,29.99258,-90.11471,Entire home/apt,81.0,30,27,2025-07-27,0.71,1,296,16,"23NSTR-13570, 23-OSTR-13556",New Orleans,18.9,16783.2
598494524999495989,Cozy Gentilly home with off street parking!,100293044,Chrishonda,,Milneburg,30.02098,-90.04742,Entire home/apt,181.0,2,82,2025-05-18,2.08,1,244,11,"24-NSTR-18621, 24-OSTR-18629",New Orleans,33.15,30914.8
598684669734767372,Walk to French Quarter from Modern home,235329606,Donald,,Tulane - Gravier,29.96344,-90.07759,Entire home/apt,392.0,2,80,2025-07-24,1.97,2,140,12,"23-NSTR-16053, 24-OSTR-18871",New Orleans,61.64,38416.0
598760240749809060,The Ficus,4635074,Flavia,,St. Thomas Dev,29.93052,-90.07178,Entire home/apt,87.0,2,122,2025-09-01,2.96,3,245,33,"25-NSTR-11853, 25-OSTR-11857",New Orleans,32.88,14920.5
599861548442238152,Historic Townhome - 2 Mi to French Quarter!,121682456,Evolve,,Mid-City,29.9723,-90.09916,Entire home/apt,135.0,2,20,2025-06-29,0.5,5,18,8,"23-NSTR-14656, 23-OSTR-19132",New Orleans,95.07,1701.0
599967227453598572,Charming 3BR-2.5Bath Canal Street-Ridge,323664718,Nichole,,Tulane - Gravier,29.966034,-90.080833,Entire home/apt,218.0,3,88,2025-08-25,2.19,9,255,27,"22-CSTR-05627, 22-OSTR-06550",New Orleans,30.14,38913.0
599995684054512493,Uptown Victorian Townhouse 3 King Ensuite Bedrooms,32154297,Mark,,Uptown,29.923656463623047,-90.10503387451172,Entire home/apt,450.0,3,113,2025-08-24,3.07,1,96,40,"23-NSTR-18100, 23-OSTR-18026",New Orleans,73.7,30240.0
600591875346686226,Merchant Lofts Unit 302,442912126,Tigran,,Central Business District,29.951141,-90.067764,Entire home/apt,65.0,1,94,2025-08-23,2.27,35,316,17,23-XSTR-13184,New Orleans,13.42,14378.0
601672330825636997,Charming 2BR Marigny Gem Near French Quarter,122848289,Kenneth,,St. Roch,29.96974,-90.0558,Entire home/apt,79.0,30,36,2025-03-05,1.01,2,365,6,"22-RSTR-07182, 22OSTR-09316",New Orleans,0.0,20184.5
602095664910973357,THIS IS IT! Welcome to The Hidden Muse!,453634413,Rojema,,St. Claude,29.97246,-90.04132,Entire home/apt,96.0,30,43,2025-02-11,1.16,1,364,6,"23-NSTR-17490, 23-OSTR-15423",New Orleans,0.27,24460.8
